assay_chembl_id	#Compounds
CHEMBL3587702	12
CHEMBL2344015	12
CHEMBL2330780	12
CHEMBL2092048	12
CHEMBL2214095	12
CHEMBL3374659	12
CHEMBL3378637	12
CHEMBL3378789	12
CHEMBL5261566	12
CHEMBL5381741	12
CHEMBL5584721	12
CHEMBL5510789	12
CHEMBL5324508	12
CHEMBL5131293	12
CHEMBL5110781	11
CHEMBL5377365	11
CHEMBL5377366	11
CHEMBL5377367	11
CHEMBL5249647	11
CHEMBL5223847	11
CHEMBL5223848	11
CHEMBL5225841	11
CHEMBL5254107	11
CHEMBL5523086	11
CHEMBL5531576	11
CHEMBL4703153	11
CHEMBL4718826	11
CHEMBL4731898	11
CHEMBL4355799	11
CHEMBL4355800	11
CHEMBL4355801	11
CHEMBL4427858	11
CHEMBL4409081	11
CHEMBL4414026	11
CHEMBL4808322	11
CHEMBL4622580	11
CHEMBL4683752	11
CHEMBL4679371	11
CHEMBL4679763	11
CHEMBL5037696	11
CHEMBL5044152	11
CHEMBL5046094	11
CHEMBL4840124	11
CHEMBL4843290	11
CHEMBL832278	11
CHEMBL948485	11
CHEMBL944326	11
CHEMBL903410	11
CHEMBL869626	11
CHEMBL5739084	11
CHEMBL5739275	11
CHEMBL3365826	11
CHEMBL3380409	11
CHEMBL3381617	11
CHEMBL3061541	11
CHEMBL3579079	11
CHEMBL2340120	11
CHEMBL3268319	11
CHEMBL2162878	11
CHEMBL2168855	11
CHEMBL4041102	11
CHEMBL3736648	11
CHEMBL3736649	11
CHEMBL4308576	11
CHEMBL4056221	11
CHEMBL4137010	11
CHEMBL4050158	11
CHEMBL3858245	11
CHEMBL1219663	11
CHEMBL1110812	11
CHEMBL1121074	11
CHEMBL1051047	11
CHEMBL1034067	11
CHEMBL1781402	11
CHEMBL1274536	11
CHEMBL1635449	11
CHEMBL2060290	11
CHEMBL2033332	10
CHEMBL1020033	10
CHEMBL1211587	10
CHEMBL1225490	10
CHEMBL1107054	10
CHEMBL1639762	10
CHEMBL1291557	10
CHEMBL1614262	10
CHEMBL1273173	10
CHEMBL1657597	10
CHEMBL1840125	10
CHEMBL868944	10
CHEMBL889047	10
CHEMBL853270	10
CHEMBL930660	10
CHEMBL5164097	10
CHEMBL5136953	10
CHEMBL5160513	10
CHEMBL5098616	10
CHEMBL5442367	10
CHEMBL5584875	10
CHEMBL5584876	10
CHEMBL4839289	10
CHEMBL4843634	10
CHEMBL4880831	10
CHEMBL5046649	10
CHEMBL5048808	10
CHEMBL4413821	10
CHEMBL4428885	10
CHEMBL4403243	10
CHEMBL4709255	10
CHEMBL4624483	10
CHEMBL4626210	10
CHEMBL4681405	10
CHEMBL4678538	10
CHEMBL4812957	10
CHEMBL4830030	10
CHEMBL4818301	10
CHEMBL4391984	10
CHEMBL4392036	10
CHEMBL4388216	10
CHEMBL3865060	10
CHEMBL3789775	10
CHEMBL3806692	10
CHEMBL4013831	10
CHEMBL4016564	10
CHEMBL3706371	10
CHEMBL3630418	10
CHEMBL3749265	10
CHEMBL3750698	10
CHEMBL4155390	10
CHEMBL4201937	10
CHEMBL4270242	10
CHEMBL4264023	10
CHEMBL4255046	10
CHEMBL4144996	10
CHEMBL4055831	10
CHEMBL4151701	10
CHEMBL5731629	10
CHEMBL5735396	10
CHEMBL5621454	10
CHEMBL768689	10
CHEMBL3423786	10
CHEMBL3374870	10
CHEMBL3364871	10
CHEMBL2173630	10
CHEMBL2184356	10
CHEMBL2350608	10
CHEMBL2352672	10
CHEMBL2339143	10
CHEMBL3266700	10
CHEMBL3268528	9
CHEMBL3378079	9
CHEMBL3296306	9
CHEMBL3129316	9
CHEMBL3419072	9
CHEMBL3425006	9
CHEMBL2396019	9
CHEMBL2384768	9
CHEMBL2215806	9
CHEMBL2320518	9
CHEMBL2427860	9
CHEMBL2427861	9
CHEMBL2168044	9
CHEMBL2154697	9
CHEMBL2208508	9
CHEMBL2173974	9
CHEMBL5338527	9
CHEMBL5316578	9
CHEMBL5130009	9
CHEMBL5156635	9
CHEMBL5156636	9
CHEMBL5374379	9
CHEMBL5379185	9
CHEMBL5441443	9
CHEMBL5441444	9
CHEMBL1837910	9
CHEMBL1827211	9
CHEMBL1787949	9
CHEMBL1105771	9
CHEMBL2049748	9
CHEMBL2061643	9
CHEMBL2034393	9
CHEMBL1030736	9
CHEMBL1027290	9
CHEMBL1633019	9
CHEMBL902717	9
CHEMBL903477	9
CHEMBL968700	9
CHEMBL944718	9
CHEMBL853272	9
CHEMBL5734919	9
CHEMBL5735271	9
CHEMBL5610157	9
CHEMBL5621970	9
CHEMBL660923	9
CHEMBL686879	9
CHEMBL4845170	9
CHEMBL4827648	9
CHEMBL4827649	9
CHEMBL4331542	9
CHEMBL4676423	9
CHEMBL4624348	9
CHEMBL4135221	9
CHEMBL4137254	9
CHEMBL4004026	9
CHEMBL4004027	9
CHEMBL3889183	9
CHEMBL3776784	9
CHEMBL3812630	9
CHEMBL4236893	9
CHEMBL3614618	9
CHEMBL4195585	8
CHEMBL4200760	8
CHEMBL4221872	8
CHEMBL4180224	8
CHEMBL4181722	8
CHEMBL3859635	8
CHEMBL3861882	8
CHEMBL3861883	8
CHEMBL3865242	8
CHEMBL4131395	8
CHEMBL4048003	8
CHEMBL4149876	8
CHEMBL4122310	8
CHEMBL4136264	8
CHEMBL4030033	8
CHEMBL4015502	8
CHEMBL3611882	8
CHEMBL3611883	8
CHEMBL3615686	8
CHEMBL3607755	8
CHEMBL3797007	8
CHEMBL3806618	8
CHEMBL4313152	8
CHEMBL4270206	8
CHEMBL4265449	8
CHEMBL4255622	8
CHEMBL1647981	8
CHEMBL1287098	8
CHEMBL2013523	8
CHEMBL2051179	8
CHEMBL1918473	8
CHEMBL1781401	8
CHEMBL1108768	8
CHEMBL1054110	8
CHEMBL1103133	8
CHEMBL1104433	8
CHEMBL1069497	8
CHEMBL1050865	8
CHEMBL1051824	8
CHEMBL1059781	8
CHEMBL1685549	8
CHEMBL1771845	8
CHEMBL2182408	8
CHEMBL2173338	8
CHEMBL2210902	8
CHEMBL3117583	8
CHEMBL3224839	8
CHEMBL3293609	8
CHEMBL3369983	8
CHEMBL3385491	8
CHEMBL3295963	8
CHEMBL3381295	8
CHEMBL3579786	8
CHEMBL3588589	8
CHEMBL2406355	8
CHEMBL2390223	8
CHEMBL5534842	8
CHEMBL5554846	8
CHEMBL5521546	8
CHEMBL5344084	8
CHEMBL5344086	8
CHEMBL5337477	8
CHEMBL5354414	8
CHEMBL5354415	8
CHEMBL5354416	8
CHEMBL5146135	8
CHEMBL5253362	8
CHEMBL5248058	8
CHEMBL4843635	8
CHEMBL4384705	8
CHEMBL4734892	8
CHEMBL4734908	8
CHEMBL4719471	8
CHEMBL4331643	8
CHEMBL4605649	8
CHEMBL4765969	8
CHEMBL4774539	8
CHEMBL4811862	8
CHEMBL839576	8
CHEMBL835271	8
CHEMBL819393	8
CHEMBL886473	8
CHEMBL887127	8
CHEMBL923047	8
CHEMBL927771	8
CHEMBL984727	8
CHEMBL653728	8
CHEMBL653730	8
CHEMBL653732	8
CHEMBL5731381	8
CHEMBL5731943	8
CHEMBL5733885	8
CHEMBL5734394	8
CHEMBL768686	7
CHEMBL768952	7
CHEMBL660033	7
CHEMBL660545	7
CHEMBL703975	7
CHEMBL5737981	7
CHEMBL5739517	7
CHEMBL2400450	7
CHEMBL3291637	7
CHEMBL3292131	7
CHEMBL3266651	7
CHEMBL2162322	7
CHEMBL2186754	7
CHEMBL3096002	7
CHEMBL3096731	7
CHEMBL3591007	7
CHEMBL3578413	7
CHEMBL3578665	7
CHEMBL3382984	7
CHEMBL3396429	7
CHEMBL3371004	7
CHEMBL3385851	7
CHEMBL4270205	7
CHEMBL4137009	7
CHEMBL4151929	7
CHEMBL4047402	7
CHEMBL3864816	7
CHEMBL3999906	7
CHEMBL3999907	7
CHEMBL3999908	7
CHEMBL3887163	7
CHEMBL3807664	7
CHEMBL4012449	7
CHEMBL3606549	7
CHEMBL3607542	7
CHEMBL3620197	7
CHEMBL1819702	7
CHEMBL1839209	7
CHEMBL1839633	7
CHEMBL1816132	7
CHEMBL1260554	7
CHEMBL2021110	7
CHEMBL2021111	7
CHEMBL1016403	7
CHEMBL1004593	7
CHEMBL1039970	7
CHEMBL952419	7
CHEMBL905110	7
CHEMBL822598	7
CHEMBL888509	7
CHEMBL859790	7
CHEMBL876248	7
CHEMBL5226013	7
CHEMBL5259991	7
CHEMBL5260121	7
CHEMBL5328592	7
CHEMBL5584720	7
CHEMBL5463751	7
CHEMBL5463762	7
CHEMBL5521450	7
CHEMBL5155276	7
CHEMBL5155596	7
CHEMBL5104430	7
CHEMBL5114275	7
CHEMBL5378342	7
CHEMBL4810688	7
