assay_chembl_id	cell_name	cell_description	cell_source_organism	cell_source_tissue
CHEMBL931280	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL931281	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL937425	NULL	NULL	NULL	NULL
CHEMBL931097	NULL	NULL	NULL	NULL
CHEMBL947933	NULL	NULL	NULL	NULL
CHEMBL930080	NULL	NULL	NULL	NULL
CHEMBL932292	NULL	NULL	NULL	NULL
CHEMBL933468	NULL	NULL	NULL	NULL
CHEMBL922329	NULL	NULL	NULL	NULL
CHEMBL950337	NULL	NULL	NULL	NULL
CHEMBL932540	NULL	NULL	NULL	NULL
CHEMBL936408	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937358	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL937359	NULL	NULL	NULL	NULL
CHEMBL937360	NULL	NULL	NULL	NULL
CHEMBL937361	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937362	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937363	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937364	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937365	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937366	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937367	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937368	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937369	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937370	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937371	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937372	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL937373	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL925855	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933610	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933611	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933612	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933613	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933614	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933615	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933617	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933618	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933619	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933620	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933621	Oocyte	Ooctyes	Xenopus laevis	NULL
