year	document_chembl_id
2011.0	CHEMBL1681708
2011.0	CHEMBL1681710
2011.0	CHEMBL1681724
2011.0	CHEMBL1681732
2011.0	CHEMBL1681746
2011.0	CHEMBL1681775
2010.0	CHEMBL1687698
2011.0	CHEMBL1759901
2011.0	CHEMBL1759932
2011.0	CHEMBL1759849
2011.0	CHEMBL1759894
2011.0	CHEMBL1759994
2011.0	CHEMBL1759846
2011.0	CHEMBL1759997
2011.0	CHEMBL1759918
2011.0	CHEMBL1759893
2011.0	CHEMBL1759892
2011.0	CHEMBL1765084
2011.0	CHEMBL1764974
2011.0	CHEMBL1764953
2011.0	CHEMBL1770110
2011.0	CHEMBL1770088
2011.0	CHEMBL1770137
2011.0	CHEMBL1770133
2011.0	CHEMBL1770083
2011.0	CHEMBL1770138
2011.0	CHEMBL1773004
2011.0	CHEMBL1772974
2011.0	CHEMBL1773020
2011.0	CHEMBL1773049
2011.0	CHEMBL1777807
2011.0	CHEMBL1777797
2011.0	CHEMBL1777674
2011.0	CHEMBL1777763
2011.0	CHEMBL1777686
2011.0	CHEMBL1777773
2011.0	CHEMBL1777727
2011.0	CHEMBL1777689
2011.0	CHEMBL1781898
2011.0	CHEMBL1781974
2009.0	CHEMBL1781887
2009.0	CHEMBL1781918
2009.0	CHEMBL1781979
2009.0	CHEMBL1781958
2011.0	CHEMBL1782039
2011.0	CHEMBL1795332
2011.0	CHEMBL1795246
2011.0	CHEMBL1795206
2011.0	CHEMBL1799931
2011.0	CHEMBL1800066
2011.0	CHEMBL1800027
2011.0	CHEMBL1800012
2011.0	CHEMBL1799933
2011.0	CHEMBL1799962
2010.0	CHEMBL1800009
2010.0	CHEMBL1799927
2010.0	CHEMBL1800057
2011.0	CHEMBL1806459
2011.0	CHEMBL1806368
2011.0	CHEMBL1806385
2011.0	CHEMBL1806458
2011.0	CHEMBL1806382
2011.0	CHEMBL1806498
2011.0	CHEMBL1806477
2011.0	CHEMBL1811851
2011.0	CHEMBL1811886
2011.0	CHEMBL1811786
2011.0	CHEMBL1811752
2011.0	CHEMBL1811766
2011.0	CHEMBL1811901
2011.0	CHEMBL1817551
2011.0	CHEMBL1817592
2011.0	CHEMBL1817657
2011.0	CHEMBL1817582
2011.0	CHEMBL1817669
2011.0	CHEMBL1817578
2011.0	CHEMBL1821639
2011.0	CHEMBL1821619
2011.0	CHEMBL1821661
2011.0	CHEMBL1821583
2011.0	CHEMBL1821550
2011.0	CHEMBL1821711
2011.0	CHEMBL1821719
2011.0	CHEMBL1828619
2011.0	CHEMBL1828623
2011.0	CHEMBL1828590
2011.0	CHEMBL1828519
2011.0	CHEMBL1828622
2011.0	CHEMBL1828609
2011.0	CHEMBL1828557
2011.0	CHEMBL1833793
2011.0	CHEMBL1833884
2011.0	CHEMBL1833916
2011.0	CHEMBL1833939
2011.0	CHEMBL1833864
2011.0	CHEMBL1833814
2011.0	CHEMBL1833813
2011.0	CHEMBL1833912
2011.0	CHEMBL1833860
2011.0	CHEMBL1833909
2011.0	CHEMBL1833918
2011.0	CHEMBL1833932
2011.0	CHEMBL1833934
2011.0	CHEMBL1833803
	CHEMBL1909046
2011.0	CHEMBL1909544
2011.0	CHEMBL1909512
2011.0	CHEMBL1909536
2011.0	CHEMBL1914323
2011.0	CHEMBL1914314
2011.0	CHEMBL1914289
2011.0	CHEMBL1914417
2011.0	CHEMBL1914304
2011.0	CHEMBL1914441
2011.0	CHEMBL1914383
2011.0	CHEMBL1914447
2011.0	CHEMBL1914301
2011.0	CHEMBL1914334
2011.0	CHEMBL1914454
2011.0	CHEMBL1921674
2011.0	CHEMBL1921733
2011.0	CHEMBL1921770
2011.0	CHEMBL1921704
2011.0	CHEMBL1921745
2011.0	CHEMBL1921678
2011.0	CHEMBL1921748
2011.0	CHEMBL1921692
2011.0	CHEMBL1926590
2011.0	CHEMBL1926646
2011.0	CHEMBL1926622
2011.0	CHEMBL1926604
2011.0	CHEMBL1926564
2011.0	CHEMBL1926511
2012.0	CHEMBL1932960
2012.0	CHEMBL1933029
2012.0	CHEMBL1932917
2012.0	CHEMBL1933032
2012.0	CHEMBL1932929
2012.0	CHEMBL1933007
2012.0	CHEMBL1932985
2011.0	CHEMBL1938287
2012.0	CHEMBL1938364
2012.0	CHEMBL1938371
2012.0	CHEMBL1938343
2012.0	CHEMBL1938301
2012.0	CHEMBL1938393
2012.0	CHEMBL1938353
2012.0	CHEMBL1944599
2012.0	CHEMBL1944507
2012.0	CHEMBL1944508
2012.0	CHEMBL1944524
2012.0	CHEMBL1944587
2012.0	CHEMBL1944512
2012.0	CHEMBL1944604
2011.0	CHEMBL1949557
2011.0	CHEMBL1949493
2012.0	CHEMBL1949526
2012.0	CHEMBL1949590
2012.0	CHEMBL1949653
2012.0	CHEMBL1949530
2012.0	CHEMBL1949541
2012.0	CHEMBL1949521
2012.0	CHEMBL1949573
2012.0	CHEMBL1949629
2012.0	CHEMBL1949548
2012.0	CHEMBL1949642
2012.0	CHEMBL1949661
2012.0	CHEMBL1949494
2012.0	CHEMBL1949660
2012.0	CHEMBL1955837
2012.0	CHEMBL1955823
2012.0	CHEMBL1955789
2012.0	CHEMBL1955741
2012.0	CHEMBL1955757
2012.0	CHEMBL1955830
2012.0	CHEMBL1955838
2011.0	CHEMBL2010768
2011.0	CHEMBL2010696
2012.0	CHEMBL2010689
2012.0	CHEMBL2010765
2012.0	CHEMBL2010700
2012.0	CHEMBL2010651
2012.0	CHEMBL2010758
2012.0	CHEMBL2010665
2012.0	CHEMBL2010730
2011.0	CHEMBL2016555
2011.0	CHEMBL2016447
2011.0	CHEMBL2016472
2012.0	CHEMBL2016510
2012.0	CHEMBL2016557
2012.0	CHEMBL2016496
2012.0	CHEMBL2016544
2012.0	CHEMBL2016495
2012.0	CHEMBL2016501
2012.0	CHEMBL2016458
2012.0	CHEMBL2016515
2012.0	CHEMBL2016485
2012.0	CHEMBL2021801
2012.0	CHEMBL2021760
2012.0	CHEMBL2021879
2012.0	CHEMBL2021798
2012.0	CHEMBL2021886
2012.0	CHEMBL2021786
2011.0	CHEMBL2021880
2011.0	CHEMBL2021812
2012.0	CHEMBL2021777
2012.0	CHEMBL2021885
2012.0	CHEMBL2021834
2011.0	CHEMBL2029240
2012.0	CHEMBL2029242
2012.0	CHEMBL2029265
2012.0	CHEMBL2029212
2012.0	CHEMBL2029248
2012.0	CHEMBL2029200
2012.0	CHEMBL2029277
2012.0	CHEMBL2029256
2012.0	CHEMBL2029249
2012.0	CHEMBL2029234
2012.0	CHEMBL2029330
2012.0	CHEMBL2029210
2010.0	CHEMBL2034937
2012.0	CHEMBL2034946
2012.0	CHEMBL2034879
2012.0	CHEMBL2034857
2012.0	CHEMBL2034871
2012.0	CHEMBL2034887
2012.0	CHEMBL2034964
2012.0	CHEMBL2034817
2012.0	CHEMBL2034953
2012.0	CHEMBL2034981
2012.0	CHEMBL2034921
2012.0	CHEMBL2034922
2012.0	CHEMBL2034889
2010.0	CHEMBL2040827
2012.0	CHEMBL2040836
2012.0	CHEMBL2040800
2012.0	CHEMBL2040831
2012.0	CHEMBL2040756
2011.0	CHEMBL2046284
2012.0	CHEMBL2046303
2012.0	CHEMBL2046373
2012.0	CHEMBL2046410
2012.0	CHEMBL2046302
2012.0	CHEMBL2046354
2012.0	CHEMBL2046355
2012.0	CHEMBL2046384
2012.0	CHEMBL2057154
2012.0	CHEMBL2057167
2012.0	CHEMBL2057191
2012.0	CHEMBL2057141
2012.0	CHEMBL2057071
2012.0	CHEMBL2057108
2012.0	CHEMBL2062503
2012.0	CHEMBL2062375
2012.0	CHEMBL2062434
2012.0	CHEMBL2062454
2012.0	CHEMBL2069262
2012.0	CHEMBL2069246
2012.0	CHEMBL2069189
2012.0	CHEMBL2069226
2012.0	CHEMBL2069242
2012.0	CHEMBL2069291
2012.0	CHEMBL2069214
2012.0	CHEMBL2069241
2012.0	CHEMBL2069205
2012.0	CHEMBL2086343
2012.0	CHEMBL2086372
2012.0	CHEMBL2086339
