assay_chembl_id	document_chembl_id
CHEMBL770203	CHEMBL1124014
CHEMBL1001516	CHEMBL1137005
CHEMBL3382693	CHEMBL3351481
CHEMBL3430332	CHEMBL3430320
CHEMBL1045843	CHEMBL1154736
CHEMBL3797007	CHEMBL3792353
CHEMBL5047728	CHEMBL5046251
CHEMBL4887069	CHEMBL4507282
CHEMBL1804921	CHEMBL1800009
CHEMBL3813474	CHEMBL3808373
CHEMBL1781403	CHEMBL1777727
CHEMBL927950	CHEMBL1144843
CHEMBL4428917	CHEMBL4428053
CHEMBL4235080	CHEMBL4229492
CHEMBL1047805	CHEMBL1152519
CHEMBL5351165	CHEMBL5346964
CHEMBL4822455	CHEMBL4819115
CHEMBL3807652	CHEMBL3804820
CHEMBL1047320	CHEMBL1155351
CHEMBL4845081	CHEMBL4842384
CHEMBL4667319	CHEMBL4665650
CHEMBL5610156	CHEMBL5608206
CHEMBL1072651	CHEMBL1153137
CHEMBL1781401	CHEMBL1777727
CHEMBL4041928	CHEMBL4041490
CHEMBL4355701	CHEMBL4354804
CHEMBL1058832	CHEMBL1152446
CHEMBL3135871	CHEMBL3132759
CHEMBL3271188	CHEMBL3259733
CHEMBL4012911	CHEMBL4011625
CHEMBL3366937	CHEMBL3351798
CHEMBL3619841	CHEMBL3616440
CHEMBL4269600	CHEMBL4266012
CHEMBL2050734	CHEMBL2046284
CHEMBL768953	CHEMBL1136064
CHEMBL2318190	CHEMBL2311289
CHEMBL3372415	CHEMBL3352352
CHEMBL828081	CHEMBL1139555
CHEMBL4843252	CHEMBL4842341
CHEMBL1924736	CHEMBL1921678
CHEMBL5503997	CHEMBL5500396
CHEMBL4680012	CHEMBL4673407
CHEMBL853270	CHEMBL1147799
CHEMBL3436125	CHEMBL3436046
CHEMBL2328742	CHEMBL2321835
CHEMBL5040744	CHEMBL5038618
CHEMBL5260121	CHEMBL5257122
CHEMBL4765996	CHEMBL4765231
CHEMBL4676002	CHEMBL4673243
CHEMBL1074664	CHEMBL1153250
CHEMBL5374368	CHEMBL5370643
CHEMBL3436152	CHEMBL3436046
CHEMBL4826208	CHEMBL4825668
CHEMBL3430620	CHEMBL3430321
CHEMBL2429418	CHEMBL2424528
CHEMBL4823916	CHEMBL4823254
CHEMBL5323638	CHEMBL5321266
CHEMBL3865122	CHEMBL3864164
CHEMBL1816995	CHEMBL1811766
CHEMBL3767785	CHEMBL3763085
CHEMBL5737357	CHEMBL5728734
CHEMBL1110023	CHEMBL1157885
CHEMBL4882324	CHEMBL4507279
CHEMBL4681144	CHEMBL4680083
CHEMBL3880254	CHEMBL3879906
CHEMBL5253362	CHEMBL5252523
CHEMBL4223709	CHEMBL4219225
CHEMBL3807761	CHEMBL3804778
CHEMBL5627062	CHEMBL5625201
CHEMBL2318069	CHEMBL2311389
CHEMBL4678073	CHEMBL4673322
CHEMBL886905	CHEMBL1139188
CHEMBL4272647	CHEMBL4270548
CHEMBL3430403	CHEMBL3430320
CHEMBL2187786	CHEMBL2176883
CHEMBL5055793	CHEMBL5055619
CHEMBL1959250	CHEMBL1955838
CHEMBL5476557	CHEMBL5465560
CHEMBL2422520	CHEMBL2417495
CHEMBL2149352	CHEMBL2146430
CHEMBL4199986	CHEMBL4196128
CHEMBL1291115	CHEMBL1287688
CHEMBL3436154	CHEMBL3436046
CHEMBL4003820	CHEMBL4002602
CHEMBL5225678	CHEMBL5223164
CHEMBL2404558	CHEMBL2401721
CHEMBL3813477	CHEMBL3808373
CHEMBL3389842	CHEMBL3352689
CHEMBL933622	CHEMBL1147066
CHEMBL5135948	CHEMBL5131524
CHEMBL5160513	CHEMBL5154775
CHEMBL1817377	CHEMBL1811901
CHEMBL3430558	CHEMBL3430320
CHEMBL4414110	CHEMBL4411333
CHEMBL4030012	CHEMBL4028831
CHEMBL2150564	CHEMBL2146436
CHEMBL5551344	CHEMBL5550128
CHEMBL3363886	CHEMBL3352173
CHEMBL3424107	CHEMBL3421601
CHEMBL5463762	CHEMBL5723586
CHEMBL5129830	CHEMBL5126603
CHEMBL1819701	CHEMBL1817582
